X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
164411.6641481,1241895.24925981,32.6001892089844,-35015.16688,7.54140276488483,-78.5074214326406
174198.072728344,1241895.2492598,127.041046142578,-35138.61088,7.98466585724495,-78.4953721508164
183984.481308588,1241895.2492598,187.272186279297,-35265.8792,8.42696902148067,-78.482640453619
193770.889888832,1241895.24925981,210.511138916016,-35398.2192,8.86826283320759,-78.4692286612739
203557.298469076,1241895.2492598,204.118072509766,-35534.81136,9.30849857226111,-78.4551392069464
213343.70704932,1241895.24925981,182.959442138672,-35675.87152,9.74762825143857,-78.4403746346563
223130.115629564,1241895.24925981,162.102569580078,-35820.65184,10.1856046440157,-78.4249375971163
232916.524209808,1241895.24925981,149.591598510742,-35968.436,10.6223813100056,-78.4088308534968
242702.932790052,1241895.2492598,145.035873413086,-36117.36816,11.0579126211323,-78.3920572671219
252489.341370297,1241895.24925981,144.99723815918,-36266.02048,11.4921537844949,-78.3746198031015
262275.749950541,1241895.24925981,149.911422729492,-36413.2888,11.9250608649013,-78.3565215259024
272062.158530784,1241895.2492598,165.728134155273,-36556.56096,12.3565908058559,-78.3377655968645
281848.567111029,1241895.24925981,198.468978881836,-36694.23328,12.7867014491867,-78.3183552716652
291634.975691272,1241895.2492598,246.892013549805,-36825.22944,13.2153515533037,-78.2982938977372
301421.384271517,1241895.24925981,300.654724121094,-36948.76144,13.6425008100815,-78.2775849116438
311207.792851761,1241895.24925981,346.467468261719,-37064.40992,14.0681098603655,-78.2562318364166
320994.201432004,1241895.2492598,377.239013671875,-37172.30592,14.4921403081012,-78.2342382788594
330780.610012249,1241895.24925981,396.231567382813,-37272.45408,14.9145547330915,-78.211607926823
340567.018592493,1241895.2492598,412.653747558594,-37366.09808,15.3353167023907,-78.1883445464562
350353.427172737,1241895.24925981,432.814208984375,-37455.31424,15.7543907803438,-78.1644519794346
360139.835752981,1241895.2492598,454.75830078125,-37541.77408,16.1717425372876,-78.1399341401752
369926.244333225,1241895.24925981,470.773254394531,-37627.91024,16.5873385569274,-78.1147950130378
379712.652913469,1241895.24925981,474.777648925781,-37717.03792,17.0011464424113,-78.0890386495189
389499.061493713,1241895.24925981,467.38916015625,-37810.73392,17.4131348211215,-78.0626691654415
399285.470073957,1241895.24925981,454.199523925781,-37912.38992,17.8232733482082,-78.035690738145
409071.878654202,1241895.24925981,439.590637207031,-38024.5016,18.2315327088933,-78.0081076036793
418858.287234446,1241895.24925981,422.658447265625,-38148.5416,18.6378846195699,-77.9799240540052
428644.695814689,1241895.2492598,399.485595703125,-38286.10512,19.0423018277315,-77.9511444342068
438431.104394934,1241895.24925981,369.513732910156,-38438.16896,19.44475811076,-77.9217731397181
448217.512975178,1241895.24925981,339.469970703125,-38604.4448,19.8452282736087,-77.8918146135669
458003.921555423,1241895.24925981,320.374572753906,-38784.68048,20.2436881454141,-77.8612733436399
467790.330135666,1241895.24925981,319.660400390625,-38977.06016,20.6401145750743,-77.8301538599716
477576.738715911,1241895.24925981,335.240966796875,-39178.476,21.0344854258306,-77.79846073206
487363.147296154,1241895.24925981,356.944030761719,-39386.57168,21.426779568891,-77.7661985662115
497149.5558764,1241895.24925981,374.359375,-39597.13136,21.8169768761367,-77.7333720029181
506935.964456643,1241895.24925981,384.588012695313,-39806.37936,22.2050582119487,-77.6999857142695
